rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,2.98,0.3,92.14
2,Spain,UEFA,3.46,0.55,91.63
3,Germany,UEFA,3.03,0.57,88.47
4,Belgium,UEFA,2.98,0.57,87.91
5,France,UEFA,2.66,0.52,85.95
6,Netherlands,UEFA,2.8,0.63,85.42
7,England,UEFA,2.58,0.53,85.01
8,Argentina,CONMEBOL,2.48,0.5,84.45
9,Switzerland,UEFA,2.63,0.71,82.08
10,Italy,UEFA,2.2,0.47,81.65
11,Colombia,CONMEBOL,2.24,0.51,81.2
12,Uruguay,CONMEBOL,2.28,0.56,80.82
13,Portugal,UEFA,2.32,0.6,80.53
14,Croatia,UEFA,2.44,0.76,78.79
15,Chile,CONMEBOL,2.3,0.73,77.54
16,Sweden,UEFA,2.17,0.7,76.35
17,Mexico,CONCACAF,2.15,0.76,74.58
18,Serbia,UEFA,2.13,0.78,73.79
19,Ukraine,UEFA,1.98,0.69,73.48
20,Denmark,UEFA,1.98,0.7,73.18
21,Russia,UEFA,2.07,0.78,73.03
22,Iran,AFC,1.82,0.62,72.35
23,Morocco,CAF,1.8,0.63,71.72
24,Ecuador,CONMEBOL,1.97,0.76,71.6
25,Ghana,CAF,1.77,0.62,71.56
26,Peru,CONMEBOL,1.86,0.71,70.97
27,Poland,UEFA,1.95,0.78,70.8
28,Austria,UEFA,1.86,0.75,70.06
29,Nigeria,CAF,1.81,0.73,69.57
30,USA,CONCACAF,1.87,0.79,69.15
31,Senegal,CAF,1.74,0.7,69.09
32,Wales,UEFA,1.83,0.77,69.0
33,Japan,AFC,1.93,0.84,68.93
34,Slovakia,UEFA,2.0,0.9,68.91
35,Norway,UEFA,1.9,0.83,68.71
36,Turkey,UEFA,1.89,0.85,68.32
37,Paraguay,CONMEBOL,1.84,0.81,68.22
38,Venezuela,CONMEBOL,1.88,0.86,67.69
39,Bosnia and Herzegovina,UEFA,1.84,0.84,67.54
40,Czech Republic,UEFA,1.91,0.9,67.46
41,Ivory Coast,CAF,1.63,0.72,66.21
42,Algeria,CAF,1.92,0.99,65.44
43,South Korea,AFC,1.64,0.82,64.07
44,Tunisia,CAF,1.79,0.97,63.37
45,Costa Rica,CONCACAF,1.67,0.87,63.32
46,Egypt,CAF,1.78,0.98,63.17
47,Australia,AFC,1.71,0.94,62.56
48,Iceland,UEFA,1.77,0.99,62.41
49,Romania,UEFA,1.63,0.89,62.17
50,Scotland,UEFA,1.69,0.95,61.87
51,Mali,CAF,1.42,0.78,60.27
